type,sample_id,wavelength,absorbance
Protein,Protein+H2O,270,20.49
Protein,Protein+H2O,280,16.48
Protein,Protein+H2O,290,10.87
Protein,Protein+H2O,300,6.005
Protein,Protein+H2O,310,4.08
Protein,Protein+Phenol,220,-18.36
Protein,Protein+Phenol,230,-20.29
Protein,Protein+Phenol,240,47.2
Protein,Protein+Phenol,250,10.75
Protein,Protein+Phenol,260,-17.54
Protein,Protein+Phenol,270,-18.76
Protein,Protein+Phenol,280,2.71
Protein,Protein+Phenol,290,20.18
Protein,Protein+Phenol,300,8.31
Protein,Protein+Phenol,310,5.6
Protein,Protein+EDTA,220,9.52
Protein,Protein+EDTA,230,61.13
Protein,Protein+EDTA,240,41.21
Protein,Protein+EDTA,250,27.21
Protein,Protein+EDTA,260,22.31
Protein,Protein+EDTA,270,20.58
Protein,Protein+EDTA,280,16
Protein,Protein+EDTA,290,10.49
Protein,Protein+EDTA,300,5.73
Protein,Protein+EDTA,310,3.84
Protein,Protein+70%,220,29.17
Protein,Protein+70%,230,46.35
Protein,Protein+70%,240,24.01
Protein,Protein+70%,250,20.92
Protein,Protein+70%,260,21.57
Protein,Protein+70%,270,20.62
Protein,Protein+70%,280,16.3
Protein,Protein+70%,290,11.03
Protein,Protein+70%,300,6.17
Protein,Protein+70%,310,4.19
